AccountType,EventID,TimeGenerated_unix,Account,Computer,Task
Unknown,4770,1789466937,Account557,10.6.6.73,14337
Machine,4672,1789473354,Account679,10.6.6.34,12548
Unknown,4724,1789465772,Account314,10.24.2.158,13824
Machine,4688,1789471109,Account489,10.168.5.234,13312
Unknown,4948,1789458962,Account678,10.235.9.74,13571
Unknown,4770,1789323143,Account493,10.168.5.107,14337
Machine,5158,1789480801,Account503,10.235.9.202,12810
Machine,4742,1789473126,Account615,10.235.9.71,13825
User,4797,1789483298,Account524,10.235.9.235,13824
Unknown,4769,1789483791,Account506,10.24.2.90,14337
Machine,4738,1789467715,Account58,10.168.5.144,13824
User,5145,1789472310,Account191,10.24.2.220,12811
Machine,4648,1789476434,Account188,10.168.5.111,12544
Machine,4801,1789478820,Account363,10.168.5.178,12551
User,4770,1789474233,Account398,10.24.2.157,14337
User,4797,1789460568,Account129,10.235.9.124,13824
Unknown,5058,1789474089,Account421,10.235.9.222,12292
Unknown,5058,1789472060,Account158,10.168.5.86,12292
Machine,5059,1789477980,Account641,10.235.9.228,12292
Unknown,4663,1789477142,Account411,10.235.9.242,12812
Unknown,5449,1789465826,Account264,10.168.5.222,13572
Machine,4738,1789475170,Account402,10.168.5.47,13824
User,4797,1788975625,Account656,10.235.9.176,13824
Machine,4672,1789471376,Account393,10.235.9.232,12548
User,5157,1789479426,Account132,10.235.9.175,12810
Machine,4634,1789466273,Account246,10.235.9.236,12545
Machine,4697,1789477403,Account77,10.235.9.134,12289
Unknown,4776,1789472565,Account52,10.168.5.21,14336
Unknown,4948,1789473541,Account219,10.24.2.177,13571
Machine,4670,1789470644,Account473,10.235.9.228,13570
Unknown,4957,1789472347,Account402,10.168.5.188,13571
Unknown,4771,1789461647,Account515,10.168.5.27,14339
Machine,4724,1789473935,Account50,10.168.5.113,13824
Unknown,5158,1789477422,Account86,10.168.5.131,12810
User,4674,1789480727,Account274,10.168.5.76,13056
Machine,4697,1789469329,Account10,10.24.2.223,12289
Unknown,4738,1789465198,Account366,10.168.5.122,13824
User,4798,1789472213,Account69,10.235.9.110,13824
Unknown,4624,1789473739,Account346,10.168.5.203,12544
Unknown,6427,1789472571,Account389,10.168.5.183,12555
Unknown,4957,1789462407,Account307,10.24.2.150,13571
Machine,5058,1789464418,Account578,10.24.2.177,12292
Unknown,4770,1789462803,Account392,10.168.5.214,14337
Machine,4611,1789478566,Account456,10.235.9.228,12289
User,4768,1789470972,Account369,10.168.5.51,14339
Unknown,5058,1789464054,Account614,10.24.2.244,12292
Machine,6427,1789461433,Account256,10.235.9.208,12555
User,5157,1789468849,Account48,10.24.2.198,12810
Machine,4660,1789458105,Account91,10.168.5.140,12800
User,4673,1789471416,Account155,10.6.6.8,13056
Unknown,4660,1789462597,Account314,10.235.9.188,12800
Unknown,4957,1789475683,Account76,10.6.6.36,13571
Machine,4778,1789474229,Account222,10.235.9.189,12551
User,4663,1789473800,Account482,10.235.9.184,12812
Machine,4670,1789454724,Account374,10.168.5.138,13570
User,4674,1789130200,Account18,10.168.5.232,13056
User,4797,1789464134,Account257,10.168.5.34,13824
Unknown,5449,1789468683,Account142,10.24.2.104,13572
User,4797,1789019661,Account230,10.168.5.141,13824
Machine,4647,1789483829,Account618,10.235.9.89,12545
Unknown,5379,1789474781,Account248,10.168.5.176,13824
Unknown,4948,1789459079,Account528,10.235.9.219,13571
Machine,5136,1789473194,Account246,10.168.5.192,14081
Unknown,4771,1789464098,Account469,10.24.2.212,14339
Machine,6427,1789468629,Account287,10.24.2.195,12555
Unknown,5449,1789465757,Account512,10.235.9.47,13572
Unknown,4770,1789466665,Account634,10.168.5.111,14337
Machine,4624,1789469667,Account205,10.235.9.232,12544
User,5145,1789480976,Account473,10.168.5.50,12811
User,4697,1789473401,Account676,10.24.2.238,12289
Machine,6416,1789460793,Account617,10.24.2.148,13316
Machine,4674,1789468604,Account131,10.235.9.64,13056
Machine,4742,1789466489,Account430,10.168.5.221,13825
User,4697,1789468375,Account140,10.168.5.137,12289
User,4663,1789468465,Account442,10.235.9.166,12812
Machine,4611,1789468552,Account110,10.235.9.172,12289
Unknown,4948,1789463710,Account575,10.6.6.75,13571
Machine,6416,1789459860,Account349,10.24.2.195,13316
User,4697,1789472977,Account16,10.24.2.198,12289
Unknown,4769,1789472549,Account208,10.168.5.198,14337
Machine,4648,1789470371,Account233,10.24.2.119,12544
User,4778,1789470726,Account210,10.24.2.193,12551
User,4656,1789200508,Account121,10.168.5.55,12800
Machine,4799,1789467872,Account435,10.168.5.238,13826
Machine,5059,1789344754,Account198,10.6.6.9,12292
Machine,4702,1789470702,Account562,10.235.9.225,12804
Machine,4673,1789471252,Account366,10.235.9.243,13056
Unknown,4800,1789462977,Account673,10.168.5.150,12551
User,4656,1789459897,Account242,10.235.9.168,12800
Unknown,4738,1789456149,Account297,10.6.6.90,13824
Machine,4697,1789466483,Account459,10.24.2.243,12289
Unknown,4799,1789467430,Account527,10.24.2.242,13826
Unknown,4798,1789471137,Account218,10.168.5.172,13824
Machine,6416,1789479919,Account14,10.24.2.83,13316
Unknown,5449,1789460694,Account433,10.235.9.140,13572
Machine,4670,1789473590,Account44,10.168.5.110,13570
Machine,5136,1789472845,Account272,10.168.5.179,14081
Unknown,4769,1789481299,Account72,10.6.6.10,14337
Machine,4624,1789471052,Account598,10.235.9.226,12544
Unknown,4771,1789470122,Account142,10.168.5.181,14339
Unknown,4728,1789468317,Account398,10.235.9.114,13826
Machine,5156,1789474668,Account253,10.24.2.168,12810
Machine,4799,1789469233,Account535,10.168.5.34,13826
Unknown,4957,1789471125,Account316,10.6.6.20,13571
Machine,4663,1789474622,Account321,10.6.6.88,12812
Unknown,5059,1789467317,Account495,10.168.5.192,12292
Unknown,4948,1789453151,Account413,10.24.2.100,13571
Unknown,4801,1789464042,Account298,10.235.9.121,12551
Unknown,4662,1789481391,Account181,10.235.9.64,14080
User,4742,1789458903,Account10,10.168.5.212,13825
User,4776,1789485385,Account86,10.24.2.174,14336
User,4779,1789461310,Account334,10.168.5.37,12551
Machine,4702,1789471993,Account468,10.24.2.131,12804
User,5145,1789104566,Account198,10.235.9.101,12811
Machine,4648,1789471380,Account266,10.168.5.161,12544
Machine,4673,1789474464,Account628,10.24.2.221,13056
User,4674,1789063895,Account309,10.6.6.89,13056
Unknown,4801,1789462171,Account25,10.235.9.129,12551
Machine,4648,1789466333,Account51,10.235.9.127,12544
Machine,5157,1789477833,Account345,10.6.6.3,12810
User,4797,1789472812,Account28,10.235.9.202,13824
Unknown,4663,1789471852,Account583,10.235.9.98,12812
Machine,4663,1789478659,Account369,10.168.5.123,12812
Machine,4702,1789477946,Account20,10.6.6.69,12804
Unknown,4660,1789461778,Account277,10.235.9.79,12800
Unknown,4771,1789466818,Account29,10.235.9.227,14339
Machine,4611,1789471326,Account396,10.6.6.49,12289
Unknown,5449,1789470693,Account683,10.168.5.55,13572
Unknown,4799,1789465572,Account343,10.168.5.26,13826
User,4656,1789360883,Account307,10.235.9.210,12800
Unknown,6427,1789469192,Account460,10.6.6.54,12555
Machine,4724,1789477478,Account520,10.24.2.78,13824
Machine,5157,1789477772,Account556,10.168.5.31,12810
Unknown,4946,1789455910,Account263,10.235.9.97,13571
Unknown,4957,1789455390,Account475,10.168.5.71,13571
Machine,5379,1789472492,Account524,10.24.2.228,13824
User,4905,1789460294,Account296,10.235.9.185,13568
Unknown,5058,1789465259,Account561,10.235.9.218,12292
Machine,5379,1789470737,Account687,10.24.2.151,13824
Machine,4776,1789484155,Account659,10.6.6.16,14336
Machine,4673,1789475961,Account153,10.168.5.62,13056
User,5136,1789475903,Account303,10.235.9.81,14081
Unknown,4769,1789473548,Account313,10.235.9.134,14337
Machine,4738,1789467617,Account417,10.168.5.168,13824
Unknown,4770,1789459245,Account281,10.168.5.199,14337
User,4905,1789463578,Account501,10.168.5.102,13568
Machine,4702,1789465523,Account671,10.168.5.33,12804
User,6416,1789473510,Account82,10.235.9.198,13316
User,4797,1789081326,Account579,10.168.5.146,13824
Machine,4662,1789470832,Account262,10.168.5.190,14080
User,4673,1789002196,Account681,10.24.2.216,13056
Machine,4702,1789467957,Account80,10.235.9.137,12804
Machine,4688,1789483625,Account547,10.6.6.44,13312
Machine,5058,1789469225,Account675,10.168.5.18,12292
Machine,4662,1789469488,Account345,10.24.2.140,14080
Machine,5379,1789470689,Account389,10.168.5.188,13824
User,4674,1789468919,Account5,10.24.2.240,13056
User,4648,1789470447,Account303,10.168.5.120,12544
Machine,4648,1789471567,Account316,10.168.5.20,12544
Unknown,4660,1789468364,Account672,10.235.9.141,12800
Machine,5158,1789481104,Account388,10.24.2.208,12810
Unknown,5157,1789470172,Account541,10.6.6.61,12810
Unknown,4946,1789475027,Account515,10.168.5.104,13571
Machine,4688,1789478299,Account323,10.235.9.126,13312
Unknown,4697,1789470565,Account570,10.24.2.79,12289
Unknown,5145,1789470291,Account475,10.24.2.227,12811
Unknown,4957,1789468246,Account375,10.168.5.121,13571
Machine,5140,1789472144,Account521,10.235.9.70,12808
Machine,6427,1789475275,Account487,10.235.9.192,12555
Unknown,4801,1789468539,Account349,10.235.9.127,12551
Unknown,4660,1789465141,Account72,10.168.5.21,12800
Unknown,4702,1789467599,Account420,10.6.6.72,12804
User,4768,1789484257,Account545,10.168.5.198,14339
Unknown,4770,1789463908,Account420,10.24.2.208,14337
Unknown,4770,1789460743,Account92,10.6.6.40,14337
Machine,5156,1789472460,Account351,10.168.5.207,12810
Machine,5136,1789473676,Account600,10.168.5.196,14081
Machine,5379,1789480088,Account432,10.168.5.27,13824
User,4797,1789459692,Account125,10.235.9.44,13824
Machine,4702,1789476274,Account80,10.168.5.205,12804
Unknown,5158,1789476402,Account251,10.235.9.209,12810
Machine,5379,1789469149,Account487,10.168.5.73,13824
Unknown,5449,1789464241,Account556,10.168.5.151,13572
Machine,5059,1789471857,Account313,10.24.2.101,12292
Machine,6427,1789468994,Account254,10.6.6.60,12555
Unknown,4797,1789451799,Account366,10.235.9.95,13824
Machine,4670,1789470195,Account47,10.24.2.87,13570
Machine,4648,1789474142,Account79,10.168.5.221,12544
Machine,4627,1789472534,Account100,10.235.9.139,12554
User,5145,1788965207,Account358,10.235.9.248,12811
Machine,5156,1789468968,Account462,10.6.6.56,12810
Machine,5136,1789476264,Account392,10.235.9.202,14081
Machine,4624,1789478401,Account87,10.6.6.86,12544
Unknown,5058,1789342468,Account366,10.168.5.171,12292
Machine,4674,1789478250,Account77,10.235.9.95,13056
Unknown,4648,1789474590,Account328,10.168.5.211,12544
Machine,5059,1789468394,Account187,10.24.2.245,12292
User,4673,1789470335,Account614,10.168.5.71,13056
Machine,4702,1789479568,Account186,10.24.2.188,12804
User,4797,1789034920,Account327,10.168.5.62,13824
Unknown,4778,1789474377,Account341,10.24.2.223,12551
Unknown,4660,1789459685,Account139,10.168.5.110,12800
Machine,4673,1789476328,Account378,10.168.5.63,13056
Machine,4627,1789471301,Account346,10.235.9.153,12554
Machine,4673,1789478541,Account605,10.168.5.36,13056
Machine,4611,1789468719,Account438,10.235.9.196,12289
Machine,5061,1789469498,Account536,10.235.9.126,12290
Machine,4702,1789469932,Account167,10.235.9.134,12804
Machine,4799,1789483021,Account525,10.6.6.28,13826
Machine,5379,1789472907,Account123,10.168.5.59,13824
Unknown,4660,1789460490,Account95,10.24.2.102,12800
Unknown,4627,1789465874,Account650,10.24.2.203,12554
User,4625,1789461348,Account107,10.168.5.218,12544
User,4674,1789473641,Account274,10.168.5.57,13056
Unknown,5449,1789469274,Account65,10.24.2.212,13572
Machine,4729,1789469605,Account695,10.235.9.218,13826
Unknown,5061,1789466687,Account209,10.24.2.107,12290
Machine,4674,1789479144,Account495,10.168.5.151,13056
User,4797,1789465101,Account692,10.24.2.240,13824
Unknown,4957,1789466436,Account86,10.6.6.51,13571
Unknown,4801,1789468352,Account102,10.235.9.106,12551
Machine,4624,1789476084,Account324,10.6.6.37,12544
Machine,4611,1789478576,Account675,10.235.9.99,12289
Unknown,4656,1789476734,Account362,10.24.2.252,12800
Unknown,4771,1789465552,Account219,10.168.5.199,14339
Unknown,4769,1789472165,Account495,10.24.2.191,14337
Unknown,4776,1789474030,Account475,10.235.9.132,14336
Unknown,4663,1789469110,Account147,10.24.2.161,12812
Unknown,4769,1789457928,Account597,10.168.5.185,14337
Unknown,4801,1789465837,Account480,10.235.9.100,12551
Machine,4724,1789473218,Account50,10.168.5.159,13824
Machine,4672,1789474116,Account681,10.24.2.137,12548
Machine,4697,1789464358,Account231,10.235.9.61,12289
User,4797,1789475210,Account673,10.168.5.232,13824
Machine,4672,1789480597,Account461,10.24.2.137,12548
Machine,4688,1789468310,Account17,10.235.9.172,13312
Machine,4662,1789467115,Account629,10.168.5.222,14080
Machine,4768,1789473337,Account327,10.6.6.40,14339
Machine,4672,1789479239,Account163,10.235.9.199,12548
Machine,4728,1789468014,Account263,10.168.5.152,13826
Machine,5379,1789476687,Account251,10.235.9.92,13824
Unknown,5157,1789482515,Account401,10.6.6.3,12810
Unknown,4662,1789466200,Account542,10.24.2.85,14080
Unknown,4776,1789477494,Account57,10.168.5.150,14336
Machine,4957,1789467311,Account520,10.235.9.132,13571
User,4797,1789003661,Account232,10.168.5.36,13824
User,4673,1788928587,Account206,10.235.9.248,13056
Machine,5059,1789462804,Account619,10.168.5.49,12292
Machine,4672,1789477122,Account449,10.6.6.18,12548
Machine,4656,1789479716,Account664,10.24.2.126,12800
Unknown,5058,1789456851,Account244,10.24.2.209,12292
Machine,5145,1789472689,Account626,10.24.2.160,12811
Machine,4768,1789476313,Account436,10.24.2.177,14339
Unknown,5058,1789460398,Account440,10.6.6.30,12292
Machine,4674,1789470853,Account243,10.235.9.234,13056
Machine,4634,1789466157,Account243,10.24.2.124,12545
Machine,5158,1789475219,Account290,10.6.6.18,12810
Machine,5059,1789470157,Account74,10.168.5.37,12292
Unknown,5061,1789470540,Account434,10.6.6.5,12290
User,4948,1789462239,Account177,10.24.2.170,13571
Machine,5059,1789476371,Account618,10.168.5.101,12292
User,4798,1789473211,Account651,10.235.9.139,13824
Machine,4662,1789467911,Account647,10.168.5.62,14080
User,4779,1789462556,Account352,10.235.9.116,12551
Unknown,5379,1789470975,Account265,10.168.5.193,13824
Unknown,4948,1789472378,Account259,10.235.9.85,13571
Machine,4738,1789465148,Account179,10.6.6.45,13824
Machine,4776,1789476052,Account26,10.24.2.219,14336
Machine,4670,1789473414,Account263,10.235.9.117,13570
Machine,4799,1789475671,Account552,10.168.5.30,13826
Machine,4801,1789470667,Account400,10.24.2.150,12551
User,4674,1789006294,Account440,10.168.5.83,13056
Unknown,4662,1789466399,Account452,10.168.5.171,14080
Unknown,4801,1789468778,Account25,10.235.9.61,12551
Machine,4697,1789473770,Account603,10.168.5.219,12289
Machine,4724,1789472127,Account489,10.168.5.163,13824
User,4797,1789114387,Account163,10.24.2.135,13824
Machine,4799,1789470387,Account470,10.168.5.210,13826
Machine,4911,1789472666,Account620,10.235.9.67,13570
Unknown,4769,1789462662,Account291,10.235.9.196,14337
Machine,4634,1789460920,Account278,10.168.5.224,12545
Unknown,4778,1789472397,Account462,10.24.2.145,12551
Machine,4799,1789470823,Account225,10.24.2.150,13826
Unknown,4778,1789472269,Account222,10.168.5.156,12551
Unknown,4627,1789460266,Account366,10.6.6.15,12554
Unknown,4776,1789473580,Account380,10.24.2.80,14336
Unknown,5379,1789480348,Account7,10.168.5.24,13824
User,4673,1789465246,Account672,10.6.6.52,13056
Machine,4674,1789479040,Account223,10.24.2.112,13056
Machine,5059,1789460004,Account329,10.24.2.235,12292
User,5145,1789473301,Account24,10.24.2.239,12811
Unknown,6427,1789464980,Account684,10.168.5.37,12555
Machine,4648,1789474975,Account223,10.24.2.100,12544
Unknown,4769,1789474042,Account121,10.168.5.199,14337
Machine,4904,1789469072,Account178,10.168.5.234,13568
Machine,4611,1789478183,Account290,10.6.6.55,12289
Unknown,4946,1789449715,Account456,10.24.2.156,13571
Unknown,5058,1789460179,Account156,10.6.6.20,12292
Unknown,4771,1789458092,Account484,10.235.9.247,14339
Unknown,4627,1789334675,Account31,10.235.9.224,12554
Machine,4799,1789470446,Account274,10.235.9.46,13826
Unknown,4768,1789458736,Account81,10.235.9.221,14339
Unknown,5379,1789476952,Account663,10.6.6.61,13824
Unknown,4778,1789471667,Account528,10.235.9.63,12551
User,4702,1789472457,Account635,10.235.9.212,12804
Machine,5059,1789474186,Account322,10.6.6.79,12292
User,4634,1789476179,Account139,10.235.9.105,12545
Machine,4670,1789475196,Account311,10.6.6.54,13570
Machine,4672,1789470833,Account621,10.235.9.157,12548
Machine,4672,1789477890,Account396,10.235.9.123,12548
Machine,4957,1789461632,Account202,10.6.6.19,13571
User,5058,1789464267,Account397,10.168.5.18,12292
Unknown,4778,1789464266,Account68,10.168.5.38,12551
Machine,6416,1789460439,Account193,10.168.5.167,13316
Unknown,4672,1789472218,Account403,10.168.5.102,12548
Unknown,4770,1789460627,Account684,10.168.5.211,14337
Machine,4778,1789480769,Account616,10.6.6.55,12551
Machine,6416,1789466943,Account350,10.24.2.87,13316
Unknown,5449,1789459383,Account238,10.168.5.21,13572
Unknown,5157,1789464132,Account326,10.24.2.211,12810
Machine,4738,1789470009,Account466,10.24.2.231,13824
Machine,4624,1789472308,Account687,10.235.9.183,12544
Unknown,4957,1789461379,Account664,10.24.2.173,13571
Machine,4662,1789483459,Account205,10.168.5.57,14080
Unknown,5059,1789469374,Account6,10.235.9.57,12292
Machine,4798,1789485385,Account667,10.235.9.127,13824
Machine,4670,1789467420,Account502,10.168.5.19,13570
Machine,6416,1789461431,Account245,10.235.9.186,13316
User,5157,1789478932,Account286,10.24.2.131,12810
Machine,4702,1789471708,Account201,10.168.5.151,12804
Machine,4648,1789476653,Account288,10.235.9.110,12544
Unknown,4769,1789469417,Account287,10.24.2.157,14337
Machine,5136,1789471847,Account568,10.6.6.73,14081
User,4625,1789465384,Account466,10.24.2.166,12544
User,4697,1789472641,Account403,10.168.5.202,12289
Machine,5136,1789466786,Account333,10.168.5.43,14081
Machine,4799,1789483405,Account288,10.168.5.21,13826
User,4673,1789163534,Account139,10.235.9.162,13056
Unknown,4660,1789453799,Account441,10.6.6.1,12800
Machine,4724,1789479902,Account91,10.168.5.35,13824
Unknown,4660,1789464280,Account185,10.168.5.122,12800
Unknown,4905,1789468715,Account194,10.168.5.129,13568
Unknown,4627,1789468005,Account2,10.168.5.133,12554
Machine,5136,1789480621,Account455,10.6.6.27,14081
Machine,5379,1789475583,Account360,10.168.5.176,13824
User,4663,1789470706,Account528,10.168.5.61,12812
Machine,5059,1789481782,Account153,10.168.5.113,12292
Unknown,4776,1789459539,Account59,10.24.2.175,14336
Machine,4670,1789459146,Account218,10.168.5.90,13570
Unknown,4771,1789343585,Account660,10.235.9.48,14339
Unknown,6427,1789465556,Account204,10.235.9.109,12555
Machine,5059,1789471406,Account413,10.24.2.131,12292
User,4797,1788851508,Account281,10.235.9.115,13824
Machine,4648,1789478414,Account57,10.168.5.186,12544
Unknown,6427,1789461998,Account655,10.168.5.76,12555
Machine,4946,1789474548,Account463,10.168.5.122,13571
Unknown,4957,1789457961,Account557,10.235.9.103,13571
Machine,4674,1789470569,Account340,10.24.2.105,13056
User,4797,1789085759,Account651,10.24.2.215,13824
Machine,4627,1789470780,Account537,10.6.6.24,12554
Unknown,4776,1789470361,Account411,10.6.6.26,14336
Machine,5379,1789477672,Account603,10.168.5.212,13824
Machine,4778,1789471249,Account21,10.235.9.93,12551
Machine,4769,1789478200,Account440,10.24.2.174,14337
Unknown,5157,1789463546,Account369,10.235.9.136,12810
Machine,4674,1789476896,Account46,10.168.5.43,13056
Unknown,4801,1789475845,Account569,10.6.6.41,12551
Unknown,5449,1789472791,Account115,10.24.2.176,13572
Machine,5140,1789478106,Account6,10.235.9.91,12808
Machine,4627,1789468452,Account516,10.235.9.170,12554
Machine,4768,1789474143,Account318,10.6.6.9,14339
Machine,5059,1789469843,Account599,10.235.9.58,12292
